"datetime","temp","dew","humidity","precip","precipprob","precipcover","windgust","windspeed","winddir","pressure","cloudcover","visibility","solarradiation","uvindex","severerisk","conditions","description","icon","hours_datetime","hours_temp","hours_humidity","hours_precip","hours_precipprob","hours_windgust","hours_windspeed","hours_winddir","hours_pressure","hours_visibility","hours_cloudcover","hours_solarradiation","hours_severerisk","hours_conditions","temp_outlier","temp_deviation","dew_outlier","dew_deviation","humidity_outlier","humidity_deviation","precip_outlier","precip_deviation","precipprob_outlier","precipprob_deviation","precipcover_outlier","precipcover_deviation","windgust_outlier","windgust_deviation","windspeed_outlier","windspeed_deviation","winddir_outlier","winddir_deviation","pressure_outlier","pressure_deviation","cloudcover_outlier","cloudcover_deviation","visibility_outlier","visibility_deviation","solarradiation_outlier","solarradiation_deviation","uvindex_outlier","uvindex_deviation","severerisk_outlier","severerisk_deviation","hours_temp_outlier","hours_temp_deviation","hours_humidity_outlier","hours_humidity_deviation","hours_precip_outlier","hours_precip_deviation","hours_precipprob_outlier","hours_precipprob_deviation","hours_windgust_outlier","hours_windgust_deviation","hours_windspeed_outlier","hours_windspeed_deviation","hours_winddir_outlier","hours_winddir_deviation","hours_pressure_outlier","hours_pressure_deviation","hours_visibility_outlier","hours_visibility_deviation","hours_cloudcover_outlier","hours_cloudcover_deviation","hours_solarradiation_outlier","hours_solarradiation_deviation","hours_severerisk_outlier","hours_severerisk_deviation"
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","00:00:00",0.823,0.8891,0,0,0.105,0.058,0.29,0.1006,0.062,0.88,0,0.3,"Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.875968992248062,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","01:00:00",0.823,0.8891,0.004,1,0.121,0.022,0.2512,0.1006,0.056,1,0,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","02:00:00",0.823,0.8891,0,0,0.105,0.034,0.24,0.1006,0.062,1,0,0.3,"Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.875968992248062,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","03:00:00",0.787,1,0,0,0.094,0.022,0.2567,0.1006,0.037,1,0,0.3,"Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.0509385665529013,FALSE,0,TRUE,0.875968992248062,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","04:00:00",0.805,0.9427,0.008,1,0.089,0.069,0.2653,0.1006,0.043,1,0,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","05:00:00",0.805,0.8883,0,0,0.076,0.034,0.28,0.1006,0.062,1,0,0.3,"Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.875968992248062,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","06:00:00",0.805,0.9427,0.004,1,0.067,0.081,0.22,0.1007,0.062,1,0.011,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","07:00:00",0.787,1,0.028,1,0.054,0.034,0.19,0.1007,0.062,1,0.067,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.0509385665529013,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.0444506104328521,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","08:00:00",0.805,0.9427,0.028,1,0.054,0.034,0.12,0.1007,0.062,0.88,0.293,0.3,"Rain, Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.355216426193118,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","09:00:00",0.859,0.7919,0.02,1,0.06,0.022,0.2761,0.1008,0.062,0.88,0.264,0.3,"Rain, Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","10:00:00",0.859,0.7462,0.024,1,0.067,0.047,0.26,0.1007,0.062,0.88,0.496,0.1,"Rain, Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","11:00:00",0.823,0.8891,0.004,1,0.083,0.183,0.25,0.1007,0.056,0.88,0.552,0.1,"Rain, Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","12:00:00",0.841,0.7905,0,0,0.105,0.139,0.26,0.1007,0.15,0.88,0.233,0.1,"Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.875968992248062,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","13:00:00",0.866,0.6506,0.004,0.871,0.125,0.121,0.2542,0.1005,0.15,1,0.95,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.483870967741955,TRUE,0.145307167235495,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.812990409764603,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","14:00:00",0.866,0.6546,0,0.871,0.143,0.141,0.25,0.1005,0.15,0.921,0.882,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.483870967741955,TRUE,0.138481228668942,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.575850043591979,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","15:00:00",0.863,0.6621,0.004,0.935,0.154,0.15,0.2479,0.1005,0.15,0.846,0.751,0.3,"Rain, Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.125682593856655,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.119006102877071,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","16:00:00",0.857,0.6777,0.004,0.935,0.166,0.157,0.2433,0.1004,0.15,0.919,0.532,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.0990614334470989,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","17:00:00",0.837,0.7443,0.043,0.935,0.17,0.148,0.2425,0.1005,0.037,0.553,0.286,0.3,"Rain, Partially cloudy",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.400181818181818,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","18:00:00",0.818,0.8128,0.106,0.935,0.181,0.136,0.241,0.1005,0.03,1,0.125,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","19:00:00",0.811,0.8221,0.106,0.935,0.183,0.132,0.2444,0.1006,0.031,1,0,0.3,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","20:00:00",0.807,0.8268,0.083,0.935,0.163,0.114,0.2564,0.1006,0.042,1,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","21:00:00",0.801,0.8415,0.055,0.903,0.132,0.087,0.2758,0.1007,0.05,1,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","22:00:00",0.796,0.8617,0.079,0.903,0.112,0.078,0.3032,0.1007,0.052,1,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.0581021087680351,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-29",0.823,0.766,0.835,0.0663,1,0.75,0.183,0.183,0.2543,0.10062,0.938,0.073,0.2268,1,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","23:00:00",0.787,0.8769,0.059,0.903,0.105,0.087,0.3243,0.1008,0.074,1,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.151775804661487,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-30",0.801,0.743,0.831,0.0711,1,0.7917,0.17,0.141,0.2633,0.10068,0.981,0.113,0.245,0.9,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","00:00:00",0.783,0.8768,0.024,0.903,0.107,0.089,0.3279,0.1007,0.113,1,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.167758046614872,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-30",0.801,0.743,0.831,0.0711,1,0.7917,0.17,0.141,0.2633,0.10068,0.981,0.113,0.245,0.9,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","01:00:00",0.778,0.8925,0.02,0.903,0.114,0.092,0.3233,0.1006,0.116,1,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.147336293007769,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-30",0.801,0.743,0.831,0.0711,1,0.7917,0.17,0.141,0.2633,0.10068,0.981,0.113,0.245,0.9,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","02:00:00",0.776,0.8978,0.012,0.903,0.103,0.083,0.3311,0.1006,0.114,0.984,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.18196448390677,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
"2025-06-30",0.801,0.743,0.831,0.0711,1,0.7917,0.17,0.141,0.2633,0.10068,0.981,0.113,0.245,0.9,0.3,"Rain, Overcast","Cloudy skies throughout the day with storms possible.","rain","03:00:00",0.778,0.8872,0,0.516,0.092,0.074,0.3315,0.1006,0.15,0.982,0,0.1,"Rain, Overcast",FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,0.183740288568257,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0
